2025-06-13T08:12:35.975372962-06:00 INFO kanata-tray config folder: /home/isv/repos/keyboards/kanata/kanata-tray
2025-06-13T08:12:35.976136036-06:00 INFO loading status icon: /home/isv/repos/keyboards/kanata/kanata-tray/status_icons/default.ico
2025-06-13T08:12:35.976183652-06:00 INFO loading status icon: /home/isv/repos/keyboards/kanata/kanata-tray/status_icons/crash.ico
2025-06-13T08:12:35.976261033-06:00 INFO loading status icon: /home/isv/repos/keyboards/kanata/kanata-tray/status_icons/pause.ico
2025-06-13T08:12:35.9763616-06:00 INFO loading status icon: /home/isv/repos/keyboards/kanata/kanata-tray/status_icons/live-reload.ico
2025-06-13T08:12:36.025569997-06:00 INFO Running preset 'Main Preset'
2025-06-13T08:26:05.92465466-06:00 INFO Setting icon: preset:*, layer:base
2025-06-13T08:26:17.349505789-06:00 INFO Setting icon: preset:*, layer:symbols
2025-06-13T08:26:17.468962277-06:00 INFO Setting icon: preset:*, layer:base
2025-06-13T08:26:31.716086722-06:00 INFO Setting icon: preset:*, layer:symbols
2025-06-13T08:26:31.774154198-06:00 INFO Setting icon: preset:*, layer:base
2025-06-13T08:26:33.64990401-06:00 INFO Setting icon: preset:*, layer:symbols
2025-06-13T08:26:33.782913458-06:00 INFO Setting icon: preset:*, layer:base
2025-06-13T08:26:35.837846333-06:00 INFO Setting icon: preset:*, layer:symbols
2025-06-13T08:26:35.992854826-06:00 INFO Setting icon: preset:*, layer:base
2025-06-13T08:26:39.476435737-06:00 INFO Setting icon: preset:*, layer:symbols
2025-06-13T08:26:39.871883648-06:00 INFO Setting icon: preset:*, layer:base
2025-06-13T08:31:27.064714406-06:00 INFO Setting icon: preset:*, layer:symbols
2025-06-13T08:31:27.219726855-06:00 INFO Setting icon: preset:*, layer:base
2025-06-13T08:31:35.92276985-06:00 INFO Setting icon: preset:*, layer:arrows
2025-06-13T08:31:35.960361443-06:00 INFO Setting icon: preset:*, layer:base
2025-06-13T08:31:59.843788487-06:00 INFO Setting icon: preset:*, layer:numbers
2025-06-13T08:32:00.074730651-06:00 INFO Setting icon: preset:*, layer:base
2025-06-13T08:32:20.388203637-06:00 INFO Setting icon: preset:*, layer:symbols
2025-06-13T08:32:20.540493789-06:00 INFO Setting icon: preset:*, layer:base
2025-06-13T08:32:25.262746466-06:00 INFO Setting icon: preset:*, layer:arrows
2025-06-13T08:32:25.3814201-06:00 INFO Setting icon: preset:*, layer:base
2025-06-13T08:32:27.069980925-06:00 INFO Setting icon: preset:*, layer:arrows
2025-06-13T08:32:27.173722705-06:00 INFO Setting icon: preset:*, layer:base
2025-06-13T08:32:28.446498379-06:00 INFO Setting icon: preset:*, layer:arrows
2025-06-13T08:32:28.612241107-06:00 INFO Setting icon: preset:*, layer:base
2025-06-13T08:32:31.107854497-06:00 INFO Setting icon: preset:*, layer:symbols
2025-06-13T08:32:31.135934496-06:00 INFO Setting icon: preset:*, layer:base
2025-06-13T08:32:32.575779481-06:00 INFO Setting icon: preset:*, layer:symbols
2025-06-13T08:32:32.778123648-06:00 INFO Setting icon: preset:*, layer:base
2025-06-13T08:32:36.208767706-06:00 INFO Setting icon: preset:*, layer:symbols
2025-06-13T08:32:36.377364381-06:00 INFO Setting icon: preset:*, layer:base
2025-06-13T08:32:37.332772979-06:00 INFO Setting icon: preset:*, layer:symbols
2025-06-13T08:32:37.656591129-06:00 INFO Setting icon: preset:*, layer:base
